handle_ru,title_ru,gender,url_ru
gift-idea,Gift Idea,woman,https://miomio.com.ua/ru/woman/gift-idea
gioseppo,Gioseppo,woman,https://miomio.com.ua/ru/woman/gioseppo
giovanni-fabiani,Giovanni Fabiani,woman,https://miomio.com.ua/ru/woman/giovanni-fabiani
gironacci,Gironacci,woman,https://miomio.com.ua/ru/woman/gironacci
good-man,Goog Man,woman,https://miomio.com.ua/ru/woman/good-man
hestia-di-venezia,H'estia di Venezia,woman,https://miomio.com.ua/ru/woman/hestia-di-venezia
halmanera,Halmanera,woman,https://miomio.com.ua/ru/woman/halmanera
helena-soretti,Helena Soretti,woman,https://miomio.com.ua/ru/woman/helena-soretti
iceberg,ICEBERG,woman,https://miomio.com.ua/ru/woman/iceberg
inuikii,Inuikii,woman,https://miomio.com.ua/ru/woman/inuikii
jeannot,Jeannot,woman,https://miomio.com.ua/ru/woman/jeannot
jog-dog,Jog Dog,woman,https://miomio.com.ua/ru/woman/jog-dog
john-galliano,John Galliano,woman,https://miomio.com.ua/ru/woman/john-galliano
john-richmond,John Richmond,woman,https://miomio.com.ua/ru/woman/john-richmond
joyce-amp-girls,Joyce &amp; Girls ,woman,https://miomio.com.ua/ru/woman/joyce-amp-girls
just-cavalli,Just Cavalli,woman,https://miomio.com.ua/ru/woman/just-cavalli
kelton,KELTON,woman,https://miomio.com.ua/ru/woman/kelton
kalliste,Kalliste,woman,https://miomio.com.ua/ru/woman/kalliste
kanna,Kanna,woman,https://miomio.com.ua/ru/woman/kanna
karl-lagerfeld,Karl Lagerfeld,woman,https://miomio.com.ua/ru/woman/karl-lagerfeld
kat-maconie,Kat Maconie,woman,https://miomio.com.ua/ru/woman/kat-maconie
kennel-amp-schmenger,Kennel&amp;Schmenger,woman,https://miomio.com.ua/ru/woman/kennel-amp-schmenger
kenzo,Kenzo,woman,https://miomio.com.ua/ru/woman/kenzo
lautre-chose,L'Autre Chose,woman,https://miomio.com.ua/ru/woman/lautre-chose
lawater,L.A.Water,woman,https://miomio.com.ua/ru/woman/lawater
l4k3,L4K3,woman,https://miomio.com.ua/ru/woman/l4k3
liu-jo,LIU JO,woman,https://miomio.com.ua/ru/woman/liu-jo
loriblu,LORIBLU,woman,https://miomio.com.ua/ru/woman/loriblu
love-moschino,LOVE MOSCHINO,woman,https://miomio.com.ua/ru/woman/love-moschino
lamborghini,Lamborghini,woman,https://miomio.com.ua/ru/woman/lamborghini
lancaster,Lancaster,woman,https://miomio.com.ua/ru/woman/lancaster
laura-bellariva,Laura Bellariva,woman,https://miomio.com.ua/ru/woman/laura-bellariva
lemon-jelly,Lemon Jelly,woman,https://miomio.com.ua/ru/woman/lemon-jelly
liviana-conti,Liviana Conti,woman,https://miomio.com.ua/ru/woman/liviana-conti
luca-grossi,Luca Grossi,woman,https://miomio.com.ua/ru/woman/luca-grossi
luca-guerrini,Luca Guerrini,woman,https://miomio.com.ua/ru/woman/luca-guerrini
mou,MOU,woman,https://miomio.com.ua/ru/woman/mou
ma-amp-lo,Ma&amp;Lo,woman,https://miomio.com.ua/ru/woman/ma-amp-lo
mario-bruni,Mario Bruni,woman,https://miomio.com.ua/ru/woman/mario-bruni
mary-amp-co,Mary&amp;Co,woman,https://miomio.com.ua/ru/woman/mary-amp-co
marzetti,Marzetti,woman,https://miomio.com.ua/ru/woman/marzetti
meimeij,MeiMeiJ,woman,https://miomio.com.ua/ru/woman/meimeij
meline,Meline,woman,https://miomio.com.ua/ru/woman/meline
menghi,Menghi,woman,https://miomio.com.ua/ru/woman/menghi
merlyn,Merlyn,woman,https://miomio.com.ua/ru/woman/merlyn
mi-amor,Mi Amor,woman,https://miomio.com.ua/ru/woman/mi-amor
mitica,Mitica,woman,https://miomio.com.ua/ru/woman/mitica
moreschi,Moreschi,woman,https://miomio.com.ua/ru/woman/moreschi
mot-cle,Mot-Cle,woman,https://miomio.com.ua/ru/woman/mot-cle
my-best-bag-firenze,My Best Bag Firenze,woman,https://miomio.com.ua/ru/woman/my-best-bag-firenze
new-collection-ghoud,New collection GHOUD,woman,https://miomio.com.ua/ru/woman/new-collection-ghoud
new-collection-ss26,New collection SS'26,woman,https://miomio.com.ua/ru/woman/new-collection-ss26
new-collection-ss26-muzhskaya,New collection SS'26 Man,man,https://miomio.com.ua/ru/man/new-collection-ss26-muzhskaya
new-collection-ss26-muzhskaya-shoes,New collection SS'26 Man обувь,man,https://miomio.com.ua/ru/man/new-collection-ss26-muzhskaya-shoes
ninalilou,Ninalilou,woman,https://miomio.com.ua/ru/woman/ninalilou
outlet-zhenskaya-obuv,Outlet женская обувь,woman,https://miomio.com.ua/ru/woman/outlet-zhenskaya-obuv
outlet-muzhskaya-obuv,Outlet мужская обувь,man,https://miomio.com.ua/ru/man/outlet-muzhskaya-obuv
premiata-choloviche-vzuttya,PREMIATA мужская обувь,man,https://miomio.com.ua/ru/man/premiata-choloviche-vzuttya
pal-zileri,Pal Zileri,woman,https://miomio.com.ua/ru/woman/pal-zileri
paloma-barcelo,Paloma Barcelo,woman,https://miomio.com.ua/ru/woman/paloma-barcelo
panicale,Panicale,woman,https://miomio.com.ua/ru/woman/panicale
paola-fiorenza,Paola Fiorenza,woman,https://miomio.com.ua/ru/woman/paola-fiorenza
pas-de-rouge,Pas de Rouge,woman,https://miomio.com.ua/ru/woman/pas-de-rouge
patrizio-dolci,Patrizio Dolci,woman,https://miomio.com.ua/ru/woman/patrizio-dolci
paul-smith,Paul Smith,woman,https://miomio.com.ua/ru/woman/paul-smith
paul-smith-muzhskoe,Paul Smith мужское,woman,https://miomio.com.ua/ru/woman/paul-smith-muzhskoe
pegada,Pegada,woman,https://miomio.com.ua/ru/woman/pegada
people-of-shibuya,People of Shibuya,woman,https://miomio.com.ua/ru/woman/people-of-shibuya
peserico,Peserico,woman,https://miomio.com.ua/ru/woman/peserico
philipp-plein,Philipp Plein,woman,https://miomio.com.ua/ru/woman/philipp-plein
pokemaoke,Pokemaoke,woman,https://miomio.com.ua/ru/woman/pokemaoke
pollini,Pollini,woman,https://miomio.com.ua/ru/woman/pollini
prada,Prada,woman,https://miomio.com.ua/ru/woman/prada
premiata,Premiata,woman,https://miomio.com.ua/ru/woman/premiata
run-of,RUN OF,woman,https://miomio.com.ua/ru/woman/run-of
redwood,Redwood,woman,https://miomio.com.ua/ru/woman/redwood
renato-angi,Renato Angi,woman,https://miomio.com.ua/ru/woman/renato-angi
renzi,Renzi,woman,https://miomio.com.ua/ru/woman/renzi
repo,Repo,woman,https://miomio.com.ua/ru/woman/repo
roberto-botticelli,Roberto Botticelli,woman,https://miomio.com.ua/ru/woman/roberto-botticelli
roberto-cavalli,Roberto Cavalli,woman,https://miomio.com.ua/ru/woman/roberto-cavalli
roberto-serpentini,Roberto Serpentini,woman,https://miomio.com.ua/ru/woman/roberto-serpentini
rylko,Rylko,woman,https://miomio.com.ua/ru/woman/rylko
shy-arvid-yuki,SHY Arvid Yuki,woman,https://miomio.com.ua/ru/woman/shy-arvid-yuki
santoni,Santoni,woman,https://miomio.com.ua/ru/woman/santoni
sara-burglar,Sara Burglar,woman,https://miomio.com.ua/ru/woman/sara-burglar
sergio-amaranti,Sergio Amaranti,woman,https://miomio.com.ua/ru/woman/sergio-amaranti
sergio-serrano,Sergio Serrano,woman,https://miomio.com.ua/ru/woman/sergio-serrano
soldini80,Soldini80,woman,https://miomio.com.ua/ru/woman/soldini80
stokton,Stokton,woman,https://miomio.com.ua/ru/woman/stokton
tatras,TATRAS,woman,https://miomio.com.ua/ru/woman/tatras
test-collection,Test collection,woman,https://miomio.com.ua/ru/woman/test-collection
tiffi,Tiffi,woman,https://miomio.com.ua/ru/woman/tiffi
tosca-blu,Tosca Blu,woman,https://miomio.com.ua/ru/woman/tosca-blu
uggari,Uggari,woman,https://miomio.com.ua/ru/woman/uggari
unisa,Unisa,woman,https://miomio.com.ua/ru/woman/unisa
valentino,Valentino,woman,https://miomio.com.ua/ru/woman/valentino
vic-matie,Vic Matie,woman,https://miomio.com.ua/ru/woman/vic-matie
voile-blanche,Voile Blanche,woman,https://miomio.com.ua/ru/woman/voile-blanche
voile-blanche-zhenskaya-obuv,Voile Blanche жіноче взуття,woman,https://miomio.com.ua/ru/woman/voile-blanche-zhenskaya-obuv
voile-blanche-muzhskaya-obuv,Voile Blanche чоловіче взуття,man,https://miomio.com.ua/ru/man/voile-blanche-muzhskaya-obuv
demi-w,demi w,woman,https://miomio.com.ua/ru/woman/demi-w
elysess,Élysèss,woman,https://miomio.com.ua/ru/woman/elysess
zhenskie-aksessuary,Аксесуари ,woman,https://miomio.com.ua/ru/woman/zhenskie-aksessuary
akesessuary-muzhskie,Аксесуари,man,https://miomio.com.ua/ru/man/akesessuary-muzhskie
baletki-i-mokasiny,Балетки и мокасины,woman,https://miomio.com.ua/ru/woman/baletki-i-mokasiny
bluzy-ta-sorochky,Блузы и рубашки,woman,https://miomio.com.ua/ru/woman/bluzy-ta-sorochky
bluzy-i-rubashki-zhenskie,Блузы и рубашки,woman,https://miomio.com.ua/ru/woman/bluzy-i-rubashki-zhenskie
bosonozhki,Босоножки,woman,https://miomio.com.ua/ru/woman/bosonozhki
verhnyaya-odezhda-zhenskaya,Верхняя одежда,woman,https://miomio.com.ua/ru/woman/verhnyaya-odezhda-zhenskaya
verhnyaya-odezhda-muzhskaya,Верхняя одежда,man,https://miomio.com.ua/ru/man/verhnyaya-odezhda-muzhskaya
muzhskaya-obuv,Обувь,man,https://miomio.com.ua/ru/man/muzhskaya-obuv
koshelki,Кошельки,woman,https://miomio.com.ua/ru/woman/koshelki
golovnye-ubory,Головные уборы,woman,https://miomio.com.ua/ru/woman/golovnye-ubory
golovnye-ubory-zhenskie,Головные уборы,woman,https://miomio.com.ua/ru/woman/golovnye-ubory-zhenskie
dzhynsy,Джинсы,woman,https://miomio.com.ua/ru/woman/dzhynsy
dzhinsy-muzhskie,Джинсы,man,https://miomio.com.ua/ru/man/dzhinsy-muzhskie
dorozhnye-sumki,Дорожные сумки,woman,https://miomio.com.ua/ru/woman/dorozhnye-sumki
zhenskaya-obuv,Женская обувь,woman,https://miomio.com.ua/ru/woman/zhenskaya-obuv
klatchi,Клатчи,woman,https://miomio.com.ua/ru/woman/klatchi
kostyumy-zhenskie,Комплекты,woman,https://miomio.com.ua/ru/woman/kostyumy-zhenskie
krossovki-i-kedy-zhenskie,Кроссовки и кеды,woman,https://miomio.com.ua/ru/woman/krossovki-i-kedy-zhenskie
krossovki-i-kedy-muzhskie,Кроссовки и кеды,man,https://miomio.com.ua/ru/man/krossovki-i-kedy-muzhskie
letnie-zhenskie-krossovki-i-kedy,Летние женские кроссовки и кеды,woman,https://miomio.com.ua/ru/woman/letnie-zhenskie-krossovki-i-kedy
letnie-muzhskie-krossovki-i-kedy,Летние женские кроссовки и кеды,man,https://miomio.com.ua/ru/man/letnie-muzhskie-krossovki-i-kedy
mokasiny,Мокасины,woman,https://miomio.com.ua/ru/woman/mokasiny
novaya-kollektsiya-zhenskaya-obuv-ss26,Новая коллекция женской обуви SS'26,woman,https://miomio.com.ua/ru/woman/novaya-kollektsiya-zhenskaya-obuv-ss26
novaya-kollektsiya-zhenskaya-odezhda-ss26,Новая коллекция женская одежда SS'26,woman,https://miomio.com.ua/ru/woman/novaya-kollektsiya-zhenskaya-odezhda-ss26
new-collection-meimeij,Нова колекція одягу,woman,https://miomio.com.ua/ru/woman/new-collection-meimeij
novaya-kollektsiya-muzhskaya-obuv-ss26,Новая коллекция мужской обуви SS'26,man,https://miomio.com.ua/ru/man/novaya-kollektsiya-muzhskaya-obuv-ss26
novaya-kollektsiya-muzhskaya-odezhda-ss26,Новая коллекция мужская одежда SS'26,man,https://miomio.com.ua/ru/man/novaya-kollektsiya-muzhskaya-odezhda-ss26
odezhda,Одежда,woman,https://miomio.com.ua/ru/woman/odezhda
zhenskaya-odezhda,Женская одежда,woman,https://miomio.com.ua/ru/woman/zhenskaya-odezhda
muzhskaya-odezhda,Одежда,man,https://miomio.com.ua/ru/man/muzhskaya-odezhda
oksfordy-i-lofery,Оксфорды и лоферы,woman,https://miomio.com.ua/ru/woman/oksfordy-i-lofery
portmone,Портмоне,woman,https://miomio.com.ua/ru/woman/portmone
portfeli,Портфели,woman,https://miomio.com.ua/ru/woman/portfeli
pidzhaki-zhenskie,Пиджаки,woman,https://miomio.com.ua/ru/woman/pidzhaki-zhenskie
pidzhaki,Пиджаки,woman,https://miomio.com.ua/ru/woman/pidzhaki
remni,Ремни,woman,https://miomio.com.ua/ru/woman/remni
remni-poyasa,"Ремни, пояса",woman,https://miomio.com.ua/ru/woman/remni-poyasa
perchatki,Перчатки,woman,https://miomio.com.ua/ru/woman/perchatki
ryukzaki,Рюкзаки,woman,https://miomio.com.ua/ru/woman/ryukzaki
ryukzaki-muzhskie,Рюкзаки,man,https://miomio.com.ua/ru/man/ryukzaki-muzhskie
sabo-i-myuli,Сабо и мюли,woman,https://miomio.com.ua/ru/woman/sabo-i-myuli
sandalii,Сандалии,woman,https://miomio.com.ua/ru/woman/sandalii
svetry-i-dzhempery,Свитера и джемпера,woman,https://miomio.com.ua/ru/woman/svetry-i-dzhempery
svitera-i-dzhempera-muzhskie, Свитера и джемпера,man,https://miomio.com.ua/ru/man/svitera-i-dzhempera-muzhskie
svitshoty-i-kofty,Свитшоты и кофты,woman,https://miomio.com.ua/ru/woman/svitshoty-i-kofty
svitshoty-i-kofty-muzhskie,Свитшоты и кофты,man,https://miomio.com.ua/ru/man/svitshoty-i-kofty-muzhskie
rubashki,Рубашки,woman,https://miomio.com.ua/ru/woman/rubashki
sportivnye-kostyumy,Спортивные костюмы,woman,https://miomio.com.ua/ru/woman/sportivnye-kostyumy
sportivnye-kostyumy-zhenskie,Спортивные костюмы,woman,https://miomio.com.ua/ru/woman/sportivnye-kostyumy-zhenskie
yubki,Юбки,woman,https://miomio.com.ua/ru/woman/yubki
platya-i-sarafany,Платья и сарафаны,woman,https://miomio.com.ua/ru/woman/platya-i-sarafany
sumki,Сумки,woman,https://miomio.com.ua/ru/woman/sumki
sumki-muzhskie,Сумки,man,https://miomio.com.ua/ru/man/sumki-muzhskie
tufli,Туфли,woman,https://miomio.com.ua/ru/woman/tufli
tufli-muzhskie,Туфли,man,https://miomio.com.ua/ru/man/tufli-muzhskie
futbolky,Футболки,woman,https://miomio.com.ua/ru/woman/futbolky
futbolki-i-polo,Футболки и поло,woman,https://miomio.com.ua/ru/woman/futbolki-i-polo
botinki,Ботинки,woman,https://miomio.com.ua/ru/woman/botinki
botinki-i-botilony,Ботинки и ботильоны,woman,https://miomio.com.ua/ru/woman/botinki-i-botilony
sapogi,Сапоги,woman,https://miomio.com.ua/ru/woman/sapogi
shlepancy-i-vetnamki-muzhskie,Шлепанцы и вьетнамки,man,https://miomio.com.ua/ru/man/shlepancy-i-vetnamki-muzhskie
shlepancy-i-vetnamki-zhenskie,Шлепанцы и вьетнамки,woman,https://miomio.com.ua/ru/woman/shlepancy-i-vetnamki-zhenskie
shorty,Шорты,woman,https://miomio.com.ua/ru/woman/shorty
shorty-muzhskie,Шорты,man,https://miomio.com.ua/ru/man/shorty-muzhskie
shtany-i-bryuki-zhenskie,Штаны и брюки,woman,https://miomio.com.ua/ru/woman/shtany-i-bryuki-zhenskie
shtany-i-bryuki,Штаны и брюки,woman,https://miomio.com.ua/ru/woman/shtany-i-bryuki
